loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,dtir1
cf,Joint,nopre,type2,p4,l1,nopc,b/c,426500,3.25,0.5062,0.0,360.0,not_neg,not_int,not_lpsm,538000.0,sb,pr,home,1U,,CIB,668.0,EXP,35-44,not_inst,79.27509294,North,direct,
cf,Male,nopre,type1,p3,l1,nopc,nob/c,306500,,,,300.0,neg_amm,not_int,not_lpsm,438000.0,sb,ir,home,1U,10740.0,CRIF,844.0,CIB,35-44,to_inst,69.97716895,south,direct,25.0
cf,Joint,pre,type1,p3,l1,nopc,nob/c,336500,3.625,0.678,5030.0,180.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,8160.0,CIB,800.0,EXP,45-54,to_inst,59.24295775,North,direct,31.0
cf,Male,nopre,type2,p3,l1,nopc,b/c,286500,3.625,0.498,0.0,360.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,3240.0,CIB,866.0,CIB,45-54,to_inst,75.79365079,North,direct,48.0
,Male,nopre,type1,p3,l1,nopc,nob/c,286500,4.5,0.5354,3350.0,360.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1U,4260.0,CRIF,716.0,CIB,65-74,to_inst,77.85326087,North,direct,49.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,286500,,,,360.0,not_neg,not_int,not_lpsm,,sb,pr,home,1U,8640.0,EQUI,673.0,EXP,55-64,not_inst,,North,direct,
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,86500,4.5,1.0171,2924.05,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,1920.0,EXP,557.0,CIB,35-44,to_inst,39.67889908,south,direct,42.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,726500,3.875,0.1987,1824.93,360.0,not_neg,not_int,not_lpsm,1088000.0,sb,pr,home,1U,11460.0,CIB,730.0,EXP,45-54,not_inst,66.77389706,North,direct,38.0
cf,Joint,nopre,type1,p1,l1,nopc,nob/c,486500,5.0,1.0873,9220.02,360.0,not_neg,not_int,not_lpsm,648000.0,sb,ir,home,4U,7080.0,EXP,563.0,EXP,>74,not_inst,75.07716049,North,direct,49.0
cf,Female,nopre,type1,p4,l1,nopc,nob/c,106500,3.99,1.0996,2465.81,240.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,2280.0,CIB,772.0,CIB,65-74,to_inst,28.17460317,North,direct,40.0
cf,Male,nopre,type1,p4,l1,nopc,nob/c,286500,3.99,0.2464,,132.0,neg_amm,not_int,not_lpsm,758000.0,sb,pr,home,1U,15180.0,CRIF,802.0,CIB,55-64,to_inst,37.79683377,North,direct,12.0
cf,Joint,nopre,type1,p4,l1,nopc,nob/c,326500,3.125,-0.0554,0.0,180.0,not_neg,not_int,not_lpsm,908000.0,sb,pr,home,1U,6900.0,CRIF,761.0,EXP,45-54,not_inst,35.95814978,North,direct,41.0
cf,Female,nopre,type1,p4,l2,nopc,nob/c,516500,4.56,0.5121,6426.25,360.0,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,6660.0,CRIF,811.0,CIB,35-44,to_inst,82.24522293,south,direct,49.0
cf,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,166500,4.25,0.647,1665.0,360.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,3180.0,CIB,549.0,CIB,55-64,to_inst,88.56382979,south,direct,40.0
cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,376500,3.25,0.5258,9575.0,180.0,not_neg,not_int,not_lpsm,828000.0,sb,pr,home,1U,8640.0,CIB,842.0,CIB,45-54,to_inst,45.47101449,south,direct,38.0
cf,Sex Not Available,nopre,type1,p3,l2,nopc,nob/c,106500,3.875,0.7906,4026.5,120.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1U,7560.0,CIB,876.0,EXP,45-54,to_inst,27.44845361,south,direct,25.0
cf,Joint,pre,type1,p1,l1,nopc,nob/c,136500,4.25,0.162,3738.9,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,3480.0,CIB,541.0,EXP,65-74,to_inst,59.86842105,North,direct,36.0
